disease	summary	symptom
Miscarriage - threatened	"<p>A threatened miscarriage is a condition that suggests a <a test="test" href="./001488.htm">miscarriage</a> might take place before the 20th week of pregnancy.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of a threatened miscarriage include:</p><ul><li>Abdominal cramps, with or without vaginal bleeding</li><li>Vaginal bleeding during the first 20 weeks of pregnancy (last menstrual period was less than 20 weeks ago) </li></ul><p>Note: During a miscarriage, low back pain or abdominal pain (dull to sharp, constant to intermittent) can occur. Tissue or clot-like material may pass from the <a test="test" href="./002342.htm">vagina</a>.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Major depression with psychotic features	"<p>Major depression with psychotic features is a mental disorder in which a person has depression along with loss of touch with reality (psychosis).</p></div>"	</div></div><div class="section-body" id="section-2"><p>People with psychotic depression have <a test="test" href="./000945.htm">symptoms of depression</a> and <a test="test" href="./001553.htm">psychosis</a>.</p><p>Psychosis is a loss of contact with reality. It usually includes:</p><ul><li>Delusions: False beliefs about what is taking place or who one is</li><li>Hallucinations: Seeing or hearing things that aren\'t there </li></ul><p>The types of delusions and hallucinations are often related to your depressed feelings. For example, some patients may hear voices criticizing them, or telling them that they don\'t deserve to live. The person may develop false beliefs about their body, for example, that they have cancer.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Major depression	"<p>Depression is feeling sad, blue, unhappy, or down in the dumps. Most people feel this way once in a while. </p><p>Major depression is a mood disorder. It occurs when feelings of sadness, loss, anger, or frustration get in the way of your life over a long period of time. It also changes how your body works.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Depression can change or distort the way you see yourself, your life, and those around you.</p><p>With depression, you often see everything in a negative way. It is hard for you to imagine that a problem or situation can be solved in a positive way.</p><img title="Forms of depression" alt="Forms of depression" src="//medlineplus.gov/ency/images/ency/fullsize/19300.jpg" class="img-e" itemprop="image"/><p>Symptoms of depression can include:</p><ul><li>
Marijuana intoxication	""	</div></div><div class="section-body" id="section-1"><p>The intoxicating effects of <a test="test" href="./001945.htm">marijuana</a> include relaxation, sleepiness, and mild euphoria (getting high).</p><p>Smoking marijuana leads to fast and predictable signs and symptoms. Eating marijuana can cause slower, and sometimes less predictable effects.</p><p>Marijuana can cause undesirable side effects, which increase with higher doses. These side effects include:</p><ul><li>Decreased short-term memory</li><li>Dry mouth</li><li>Impaired perception and motor skills</li><li>Red eyes</li></ul><p>More serious side effects include panic, paranoia, or acute <a test="test" href="./001553.htm">psychosis</a>, which may be more common with new users or in those who already have a psychiatric disease.</p><p>The degree of these side effects varies from person to person, as well as with the amount of marijuana used.</p><p>Marijuana is often cut with hallucinogens and other, more dangerous drugs that have more serious side effects than marijuana. These side effects may include:</p><ul><li>Sudden <a test="test" href="./000468.htm">high blood pressure</a> with headache</li><li>Chest pain and heart rhythm disturbances</li><li>Extreme hyperactivity and physical violence</li><li>Heart attack</li><li><a test="test" href="./003200.htm">Seizures</a></li><li><a test="test" href="./000726.htm">Stroke</a></li><li>Sudden collapse (cardiac arrest)</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Treatment</h2></div><div class="section-button"><button type="submit" aria-controls="section-2" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Macular degeneration - age-related	"<p>Macular degeneration is an eye disorder that slowly destroys sharp, central vision. This makes it difficult to see fine details and read.</p><p>The disease is most common in people over age 60, which is why it is often called age-related macular degeneration (ARMD or AMD).</p><div class="videobox"><div class="group"><img class="rollover_globals" alt="Macular degeneration" title="Macular degeneration" src="//medlineplus.gov/ency/images/ency/tnails/200063t.gif"/>Watch this video about:<a class="blk" href="../anatomyvideos/000085.htm">Macular degeneration</a></div></div></div>"	</div></div><div class="section-body" id="section-2"><p>You may not have any symptoms at first. As the disease gets worse, you may have problems with your central vision.</p><p>SYMPTOMS OF DRY AMD</p><p>The most common symptom of dry AMD is blurred vision. Objects in the center part of your vision often look distorted and dim, and colors look faded. You may have trouble reading print or seeing other details. But you can see well enough to walk and do most daily activities.</p><p>As dry AMD gets worse, you may need more light to read or do everyday tasks. A blurred spot in the center of vision gradually gets larger and darker.</p><p>In the later stages of dry AMD, you may not be able to recognize faces until they are close.</p><p>SYMPTOMS OF WET AMD</p><p>The most common early symptom of wet AMD is that straight lines look distorted and wavy. </p><p>There may be a small dark spot in the center of your vision that gets larger over time.</p><p>With both types of AMD, central vision loss can occur quickly. If this happens, you will need to be seen right away by an ophthalmologist. Make sure this eye doctor has experience in treating problems with the retina.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Melanoma of the eye	"<p>Melanoma of the eye is cancer that occurs in various parts of the eye.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of melanoma of the eye may include any of the following:</p><ul><li><a test="test" href="./003033.htm">Bulging eyes</a></li><li>Change in iris color</li><li><a test="test" href="./003029.htm">Poor vision</a> in one eye</li><li>Red, <a test="test" href="./003032.htm">painful eye</a></li><li>Small defect on the <a test="test" href="./002386.htm">iris</a> or <a test="test" href="./002326.htm">conjunctiva</a></li></ul><p>In some cases, there may be no symptoms.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Mastoiditis	"<p>Mastoiditis is an infection of the mastoid bone of the skull. The mastoid is located just behind the ear.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms include:</p><ul><li><a test="test" href="./003042.htm">Drainage from the ear</a></li><li><a test="test" href="./003046.htm">Ear pain or discomfort</a></li><li>Fever, may be high or suddenly increase</li><li>Headache</li><li>Hearing loss</li><li>Redness of the ear or behind the ear</li><li>Swelling behind ear, may cause ear to stick out</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Malocclusion of teeth	"<p>Malocclusion means the teeth are not aligned properly.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of malocclusion are:</p><ul><li>Abnormal alignment of teeth</li><li>Abnormal appearance of the face</li><li>Difficulty or discomfort when biting or chewing</li><li>Speech difficulties (rare), including lisp</li><li>Mouth breathing (breathing through the mouth without closing the lips)</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Mediastinal tumor	"<p>Mediastinal tumors are growths that form in the mediastinum. This is an area in the middle of the chest that separates the lungs.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Almost one half of mediastinal tumors cause no symptoms and are found on a <a test="test" href="./003804.htm">chest x-ray</a> done for another reason. Symptoms that do occur are due to pressure on (compression of) local structures and may include:</p><ul><li>Chest pain</li><li><a test="test" href="./003090.htm">Fever</a> and <a test="test" href="./003091.htm">chills</a></li><li>Cough</li><li><a test="test" href="./003073.htm">Coughing up blood</a> (hemoptysis)</li><li><a test="test" href="./003054.htm">Hoarseness</a></li><li>Night sweats</li><li><a test="test" href="./003075.htm">Shortness of breath</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Mesenteric artery ischemia	"<p>Mesenteric artery ischemia occurs when there is a narrowing or blockage of one or more of the three major arteries that supply the small and large intestines. These are called the mesenteric arteries. </p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms caused by gradual hardening of the mesenteric arteries:</p><ul><li>Abdominal pain after eating</li><li>Diarrhea </li></ul><p>Symptoms of sudden (acute) mesenteric artery ischemia due to a traveling blood clot:</p><ul><li>Diarrhea</li><li>Sudden severe abdominal pain</li><li>Vomiting </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Menkes syndrome	"<p>In Menkes syndrome, cells in the body can absorb copper, but they are unable to release it. It is one of several conditions called an "<a test="test" href="./002438.htm">inborn error of metabolism</a>." </p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of Menkes syndrome are:</p><ul><li>Bone spurs</li><li>Brittle, kinky hair</li><li>Feeding difficulties</li><li>Irritability</li><li>Lack of muscle tone, floppiness</li><li><a test="test" href="./000038.htm">Low body temperature</a></li><li>Mental deterioration</li><li>Pudgy, rosy cheeks</li><li><a test="test" href="./003200.htm">Seizures</a></li><li>Skeletal changes </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Methylmalonic acidemia	"<p>Methylmalonic acidemia is a disorder in which the body cannot break down certain proteins and fats. The result is a buildup of a substance called methylmalonic acid in the blood. This condition is passed down through families.</p><p>It is one of several conditions called an "inborn error of metabolism."</p></div>"	</div></div><div class="section-body" id="section-2"><p>Babies may appear normal at birth, but develop symptoms once they start eating more protein, which can cause the condition to get worse. The disease can cause seizures and stroke.</p><p>Symptoms include:</p><ul><li>Brain disease that gets worse (progressive encephalopathy)</li><li>Dehydration</li><li>Developmental delays</li><li>Failure to thrive</li><li>Lethargy</li><li>Repeated yeast infections</li><li>Seizures</li><li>Vomiting </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Male pattern baldness	"<p>Male pattern baldness is the most common type of hair loss in men.</p></div>"	</div></div><div class="section-body" id="section-2"><p>The typical pattern of male baldness begins at the hairline. The hairline gradually moves backward (recedes) and forms an "M" shape. Eventually the hair becomes finer, shorter, and thinner, and creates a U-shaped (or horseshoe) pattern of hair around the sides of the head.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Muscular dystrophy	"<p>Muscular dystrophy is a group of inherited disorders that cause <a test="test" href="./003174.htm">muscle weakness</a> and loss of muscle tissue, which get worse over time.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Muscular dystrophy can affect adults, but the more severe forms tend to occur in early childhood.</p><p>Symptoms vary among the different types of muscular dystrophy. All of the muscles may be affected. Or, only specific groups of muscles may be affected, such as those around the pelvis, shoulder, or face. The muscle weakness slowly gets worse and symptoms can include:</p><ul><li>Delayed development of muscle motor skills</li><li>Difficulty using 1 or more muscle groups</li><li><a test="test" href="./003048.htm">Drooling</a></li><li><a test="test" href="./003035.htm">Eyelid drooping</a> (<a test="test" href="./001018.htm">ptosis</a>) </li><li>Frequent falls</li><li>Loss of strength in a muscle or group of muscles as an adult</li><li>Loss in muscle size</li><li><a test="test" href="./003199.htm">Problems walking</a> (delayed walking)</li></ul><p>Intellectual disability is present in some types of muscular dystrophy.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Metachromatic leukodystrophy	"<p>Metachromatic leukodystrophy (MLD) is a genetic disorder that affects nerves, muscles, other organs, and behavior. It slowly gets worse over time.</p></div>"	</div></div><div class="section-body" id="section-2"><p>The symptoms for MLD are:</p><ul><li>Abnormally high muscle tone, abnormal muscle movements</li><li>Behavior problems</li><li>Decreased mental function</li><li><a test="test" href="./003298.htm">Decreased muscle tone</a></li><li>Difficulty walking</li><li>Feeding difficulties</li><li>Frequent falls</li><li>Inability to perform normal tasks</li><li><a test="test" href="./003142.htm">Incontinence</a></li><li><a test="test" href="./003214.htm">Irritability</a></li><li>Loss of muscle control</li><li>Nerve function problems</li><li>Personality changes</li><li>Poor school performance</li><li><a test="test" href="./003200.htm">Seizures</a></li><li>Speech difficulties, slurring</li><li>Swallowing difficulty </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Morquio syndrome	"<p>Morquio syndrome is a disease of metabolism in which the body is missing or does not have enough of a substance needed to break down long chains of sugar molecules. These chains of molecules are called glycosaminoglycans (formerly called mucopolysaccharides).</p><p>The syndrome belongs to a group of diseases called mucopolysaccharidoses (MPS). Specifically, it is known as MPS IV.</p><p>See also:</p><ul><li><a test="test" href="./001204.htm">MPS I H (Hurler syndrome)</a></li><li><a test="test" href="./001203.htm">MPS II, Hunter syndrome</a></li><li><a test="test" href="./001210.htm">MPS III (Sanfilippo syndrome)</a></li><li><a test="test" href="./001246.htm">MPS I S (Scheie syndrome)</a></li></ul></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms usually start between ages 1 and 3. They include:</p><ul><li>Abnormal development of bones, including the spine</li><li>Bell-shaped chest with ribs flared out at the bottom</li><li>Coarse facial features</li><li><a test="test" href="./003295.htm">Hypermobile joints</a></li><li>Knock-knees</li><li>Large head</li><li><a test="test" href="./003271.htm">Short stature</a> with a particularly short trunk</li><li><a test="test" href="./003063.htm">Widely spaced teeth</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Macroamylasemia	"<p>Macroamylasemia is the presence of an abnormal substance called macroamylase in the blood.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Macroamylasemia does not cause symptoms.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
McCune-Albright syndrome	"<p>McCune-Albright syndrome is a genetic disease that affects the bones and color (pigmentation) of the skin.</p></div>"	</div></div><div class="section-body" id="section-2"><p>The hallmark symptom of McCune-Albright syndrome is early puberty in girls. Menstrual periods may begin in early childhood, long before the breasts or pubic hair develop (which normally occur first). Puberty and menstrual bleeding may begin as early as 4 - 6 months in girls.</p><p>Early sexual development may also occur in boys, but not as often as in girls.</p><p>Other symptoms include:</p><ul><li>Bone fractures</li><li>Deformities of the bones in the face</li><li><a test="test" href="./001174.htm">Gigantism</a></li><li>Irregular, large patchy <a test="test" href="./000828.htm">cafe-au-lait spots</a>, especially on the back </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Muscle disorder	"<p>A muscle disorder includes patterns of weakness, electromyogram (EMG) findings, or biopsy results that suggest a muscle problem. The muscle disorder can be inherited, such as <a test="test" href="./001190.htm">muscular dystrophy</a>, or acquired, such as alcoholic myopathy.</p><p>The medical name for muscle disorder is myopathy.</p></div>"	</div></div><div class="section-body" id="section-1"><p>The main symptom is weakness.</p><p>Other symptoms include cramps and stiffness.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-2" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Malignant hyperthermia	"<p>Malignant hyperthermia is a disease that causes a fast rise in body temperature and severe muscle contractions when someone with the disease gets <a test="test" href="./007410.htm">general anesthesia</a>. It is passed down through families.</p><p>Hyperthermia means high body temperature. This condition is not the same as hyperthermia from medical emergencies such as <a test="test" href="./000056.htm">heat stroke</a> or infection.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of malignant hyperthermia include:</p><ul><li>Bleeding</li><li>Dark brown urine</li><li>Muscle ache without an obvious cause, such as exercise or injury</li><li><a test="test" href="./003193.htm">Muscle rigidity</a> and stiffness</li><li>Rise in body temperature to 105°F (40.6°C) or higher</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Malignant teratoma	"<p>Malignant teratoma is a type of cancer made of <a test="test" href="./003240.htm">cysts</a> that contain one or more of the three layers of cells found in a developing baby (embryo). These layers are called ectoderms, mesoderms, and endoderms. Malignant teratoma is one type of germ cell tumor.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms include:</p><ul><li>Chest pain or pressure</li><li>Cough</li><li>Fatigue</li><li>Limited ability to tolerate exercise</li><li>Shortness of breath</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Mosaicism	"<p>Mosaicism is a condition in which cells within the same person have a different genetic makeup. This condition can affect any type of cell, including:</p><ul><li>Blood cells</li><li>Egg and sperm cells </li><li>Skin cells</li></ul></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms vary and are very difficult to predict. Symptoms may not be as severe if you have both normal and abnormal cells.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Meningococcemia	"<p>Meningococcemia is an <a test="test" href="./002215.htm">acute</a> and potentially life-threatening infection of the bloodstream.</p></div>"	</div></div><div class="section-body" id="section-2"><p>There may be few symptoms at first. Some may include:</p><ul><li>Fever</li><li>Headache</li><li>Irritability</li><li>Muscle pain</li><li>Nausea</li><li>Rash with red or purple spots </li></ul><p>Later symptoms may include:</p><ul><li>A decline in your level of consciousness</li><li>Large areas of bleeding under the skin</li><li><a test="test" href="./000039.htm">Shock</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Milia	"<p>Milia are tiny white bumps or small cysts on the skin. They are almost always seen in newborn babies.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms may include:</p><ul><li>Whitish, pearly bump in the skin of newborns</li><li>Bumps that appear across the cheeks, nose, and chin</li><li>Whitish, pearly bump on gums or roof of mouth (they may look like teeth coming through the gums) </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Myotonia congenita	"<p>Myotonia congenita is an inherited condition that affects muscle relaxation. It is congenital, meaning that it is present from birth. It occurs more frequently in northern Scandinavia.</p></div>"	</div></div><div class="section-body" id="section-2"><p>The hallmark of this condition is myotonia. This means the muscles are unable to quickly relax after contracting. For example, after a handshake, the person is only very slowly able to open and pull away his hand.</p><p>Early symptoms may include:</p><ul><li>
Mouth ulcers	"<p>Mouth <a test="test" href="./003228.htm">ulcers</a> are sores or open lesions in the mouth.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms will vary, based on the cause of the mouth ulcer. Symptoms may include:</p><ul><li>Open sores in the mouth</li><li>Pain or discomfort in the mouth</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Mongolian blue spots	"<p>Mongolian spots are a kind of birthmark that are flat, blue, or blue-gray. They appear at birth or in the first few weeks of life.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Mongolian spots are not cancerous and are not associated with disease. The markings may cover a large area of the back.</p><p>The markings are usually:</p><ul><li>Blue or blue-gray spots on the back, buttocks, base of spine, shoulders, or other body areas</li><li>Flat with irregular shape and unclear edges</li><li>Normal in skin texture</li><li>2 to 8 centimeters wide, or larger </li></ul><p>Mongolian blue spots are sometimes mistaken for bruises. This can raise a question about possible child abuse. It is important to recognize that Mongolian blue spots are birthmarks, not bruises.</p></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Miscarriage	"<p>A miscarriage is the spontaneous loss of a fetus before the 20th week of pregnancy. (Pregnancy losses after the 20th week are called stillbirths.)</p><p>A miscarriage may also be called a "spontaneous abortion." This refers to naturally occurring events, not to medical abortions or <a test="test" href="./002912.htm">surgical abortions</a>.</p><p>Other terms for the early loss of pregnancy include:</p><ul><li>Complete abortion: All of the products (tissue) of conception leave the body.</li><li>Incomplete abortion: Only some of the products of conception leave the body.</li><li>Inevitable abortion: Symptoms cannot be stopped and a miscarriage will happen.</li><li>Infected (septic) abortion: The lining of the womb (uterus) and any remaining products of conception become infected.</li><li>Missed abortion: The pregnancy is lost and the products of conception do not leave the body.</li></ul><p>Your health care provider may also use the term "<a test="test" href="./000907.htm">threatened miscarriage</a>." The symptoms of this condition are abdominal cramps with or without vaginal bleeding. They are a sign that a miscarriage may occur.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Possible symptoms include:</p><ul><li>Low back pain or abdominal pain that is dull, sharp, or cramping</li><li>Tissue or clot-like material that passes from the vagina</li><li>Vaginal bleeding, with or without abdominal cramps</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Mittelschmerz	"<p>Mittelschmerz is one-sided, lower abdominal pain that affects some women. It occurs at or around the time of an egg is released from the ovaries (ovulation).</p></div>"	</div></div><div class="section-body" id="section-2"><p>Mittelschmerz may be felt on one side of the body during one month and then switch to the other side during the next month. It may also occur on the same side for many months in a row.</p><p>Symptoms include lower-abdominal pain that:</p><ul><li>Occurs only on one side</li><li>Goes on for minutes to a few hours. It can last up to 24 to 48 hours.</li><li>Feels like a sharp, cramping pain unlike other pain</li><li>Severe (rare)</li><li>May switch sides from month to month</li><li>Begins midway through the menstrual cycle </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Mathematics disorder	"<p>Mathematics disorder is a condition in which a child\'s math ability is far below normal for their age, intelligence, and education.</p></div>"	</div></div><div class="section-body" id="section-2"><p>The child may have trouble with math, as well as low scores in math classes and on tests.</p><p>Problems the child may have are:</p><ul><li>Trouble with reading, writing, and copying numbers</li><li>Problems counting and adding numbers, often making simple mistakes</li><li>Hard time telling the difference between adding and subtracting</li><li>Problems understanding math symbols and word problems</li><li>Can\'t line up numbers properly to add, subtract, or multiply</li><li>Can\'t arrange numbers from smallest to largest, or the opposite</li><li>Can\'t understand graphs </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Munchausen syndrome by proxy	"<p>Munchausen syndrome by proxy is a mental illness and a form of <a test="test" href="./001552.htm">child abuse</a>. The caretaker of a child, most often a mother, either makes up fake symptoms or causes real symptoms to make it look like the child is sick.</p></div>"	</div></div><div class="section-body" id="section-2"><p>The mother can do extreme things to fake symptoms of illness in her child. For example, she may: </p><ul><li>Add blood to the child\'s urine or stool</li><li>Withhold food so the child looks like they can\'t gain weight</li><li>Heat up thermometers so it looks like the child has a fever </li><li>Make up lab results</li><li>Give the child drugs to make the child throw up or have diarrhea</li><li>Infect an intravenous line (IV) to make the child sick</li></ul><p>What are signs in a mother?</p><ul><li>Most people with this problem are mothers with small children. Some are adult children taking care of an older parent.</li><li>The mother often works in health care and knows a lot about medical care. She can describe the child\'s symptoms in great medical detail. She likes to be very involved with the health care team and is liked by the staff for the care she gives her child.</li><li>These mothers are very involved with their children. They seem devoted to the child. This makes it hard for health professionals to see a diagnosis of Munchausen syndrome by proxy.</li></ul><p>What are signs in a child? </p><ul><li>The child sees a lot of health care providers and has been in the hospital a lot.</li><li>The child often has had many tests, surgeries, or other procedures.</li><li>The child has strange symptoms that don\'t fit with any disease. The symptoms do not match the test results.</li><li>The child\'s symptoms are reported by the mother. They are never seen by health care professionals. The symptoms are gone in the hospital, but start again when the child goes home. </li><li>Blood samples do not match the child\'s blood type.</li><li>Drugs or chemicals are found in the child\'s urine, blood, or stool.</li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Mumps	"<p>Mumps is a contagious disease that leads to painful swelling of the <a test="test" href="./001041.htm">salivary glands</a>. The salivary glands produce saliva, a liquid that moistens food and helps you chew and swallow.</p></div>"	</div></div><div class="section-body" id="section-2"><p>Symptoms of mumps may include:</p><ul><li><a test="test" href="./003027.htm">Face pain</a></li><li><a test="test" href="./003090.htm">Fever</a></li><li><a test="test" href="./003024.htm">Headache</a></li><li>Sore throat</li><li>Loss of appetite</li><li><a test="test" href="./003103.htm">Swelling</a> of the parotid glands (the largest salivary glands, located between the ear and the jaw)</li><li>Swelling of the temples or jaw (temporomandibular area)</li></ul><p>Other symptoms that can occur in males are:</p><ul><li><a test="test" href="./003162.htm">Testicle lump</a></li><li><a test="test" href="./003160.htm">Testicle pain</a></li><li><a test="test" href="./003161.htm">Scrotal swelling</a></li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
Myelomeningocele	"<p>Myelomeningocele is a birth defect in which the backbone and spinal canal do not close before birth. </p><p>The condition is a type of spina bifida.</p></div>"	</div></div><div class="section-body" id="section-2"><p>A newborn with this disorder will have an open area or a fluid-filled sac on the mid to lower back. </p><p>Symptoms may include:</p><ul><li>Loss of bladder or bowel control</li><li>Partial or complete lack of sensation</li><li>Partial or complete paralysis of the legs</li><li>Weakness of the hips, legs, or feet of a newborn </li></ul><p>Other signs and/or symptoms may include:</p><ul><li>Abnormal feet or legs, such as <a test="test" href="./001228.htm">clubfoot</a></li><li>Buildup of fluid inside the skull (hydrocephalus) </li></ul></div></div></section><section><div class="section"><div class="section-header"><div class="section-title"><h2>Exams and Tests</h2></div><div class="section-button"><button type="submit" aria-controls="section-3" role="button" title="Expand/Collapse section"><span class="icon icon-section-action">
